"Num of triggers per SNR (""distance"") group",8,,,,,
Num of SNR groups per noise group,5,,,,,
Num of noise groups,7,,,,,
Total num of triggers,280,,,,,
Total num of triggers per noise group,40,,,,,
Total num of triggers per SNR group,48,,,,,
,,,,,,
Overall Results,recognized,recognized %,missed,missed %,unrecognized,unrecognized %
All triggers,161,57.50%,119,42.50%,0,0.00%
,,,,,,
Noise group Results,recognized,recognized %,missed,missed %,unrecognized,unrecognized %
Noise Group 1,32,80.00%,8,20.00%,0,0.00%
Noise Group 2,23,57.50%,17,42.50%,0,0.00%
Noise Group 3,30,75.00%,10,25.00%,0,0.00%
Noise Group 4,25,62.50%,15,37.50%,0,0.00%
Noise Group 5,26,65.00%,14,35.00%,0,0.00%
Noise Group 6,13,32.50%,27,67.50%,0,0.00%
Noise Group 7,12,30.00%,28,70.00%,0,0.00%
,,,,,,
SNR group Results,recognized,recognized %,missed,missed %,unrecognized,unrecognized %
SNR Group 1,48,100.00%,0,0.00%,0,0.00%
SNR Group 2,39,81.20%,9,18.80%,0,0.00%
SNR Group 3,25,52.10%,23,47.90%,0,0.00%
SNR Group 4,13,27.10%,35,72.90%,0,0.00%
SNR Group 5,4,8.30%,44,91.70%,0,0.00%
